01001022 καὶ καὶ καί
01001022 πληθ[ύνεσθε, πληθύνεσθε πληθύνεσθε
01001022 καὶ] καὶ καί
01001022 πληρώσατε πληρώσατε πληρώσατε
01001022 τὰ τὰ τά
01001022 ὕδατα ὕδατα ὕδατα
01001022 [ἐν ἐν ἐν
01001022 ταῖς ταῖς ταῖς
01001022 θα]λάσσαις, θαλάσσαις θαλάσσαις
01001022 καὶ καὶ καί
01001022 τὰ τὰ τά
01001022 πετε[ινὰ πετεινὰ πετεινά
01001022 πληθυ]νέσθωσαν πληθυνέσθωσαν πληθυνέσθωσαν
01001022 ἐπὶ ἐπὶ ἐπί
01001022 τῆς τῆς τῆς
01001022 [γῆς. γῆς γῆς
01001023 καὶ καὶ καί
01001023 ἐγέ]νετο ἐγένετο ἐγένετο
01001023 ἑσπέρα ἑσπέρα ἑσπέρα
01001023 καὶ καὶ καί
01001023 ἐγ[ένετο ἐγένετο ἐγένετο
01001023 πρωί], πρωί πρωί
01001023 ἡμέρα ἡμέρα ἡμέρα
01001023 πέμπτη. πέμπτη πέμπτη
01001024 Καὶ Καὶ Καί
01001024 εἶπεν εἶπεν εἶπεν
01001024 ὁ ὁ ὁ
01001024 θεός θεός θεός
01001024 Ἐξαγαγ[έτω Ἐξαγαγέτω Ἐξαγαγέτω
01001024 ἡ ἡ ἡ
01001024 γῆ γῆ γῆ
01001024 ψυχὴν] ψυχὴν ψυχήν
01001024 ζῶσαν ζῶσαν ζῶσαν
01001024 κατὰ κατὰ κατά
01001024 γένος, γένος γένος
01001024 [τετράποδα] τετράποδα τετράποδα
01001024 καὶ καὶ καί
01001024 ἑρπετὰ ἑρπετὰ ἑρπετά
01001024 καὶ καὶ καί
01001024 θηρί[α θηρία θηρία
01001024 τῆς τῆς τῆς
01001024 γῆς γῆς γῆς
01001024 κατὰ] κατὰ κατά
01001024 γένος, γένος γένος
01001024 καὶ καὶ καί
01001024 ἐγένετο ἐγένετο ἐγένετο
01001024 [οὕτως]. οὕτως οὕτως
01001025 καὶ καὶ καί
01001025 ἐποίησεν ἐποίησεν ἐποίησεν
01001025 ὁ ὁ ὁ
01001025 θεὸς θεὸς θεός
01001025 τὰ τὰ τά
01001025 [θηρία θηρία θηρία
01001025 τῆς τῆς τῆς
01001025 γῆς] γῆς γῆς
01001025 κατὰ κατὰ κατά
01001025 γένος γένος γένος
01001025 καὶ καὶ καί
01001025 τὰ τὰ τά
01001025 κτ[ήνη κτήνη κτήνη
01001025 κατὰ κατὰ κατά
01001025 γέ]νος γένος γένος
01001025 καὶ καὶ καί
01001025 πάντα πάντα πάντα
01001025 τὰ τὰ τά
01001025 ἑρπ[ετὰ ἑρπετὰ ἑρπετά
01001025 τῆς τῆς τῆς
01001025 γῆς] γῆς γῆς
01001025 κατὰ κατὰ κατά
01001025 γένος γένος γένος
01001025 αὐτῶν· αὐτῶν αὐτῶν
01001025 καὶ καὶ καί
01001025 ἴδεν ἴδεν ἴδεν
01001025 ὁ ὁ ὁ
01001025 θεὸς θεὸς θεός
01001025 ὅτι ὅτι ὅτι
01001025 καλά. καλά καλά
01001026 ⸂⸆⸃ ⸂⸆⸃ ⸂⸆⸃
01001026 καὶ καὶ καί
01001026 εἶπεν εἶπεν εἶπεν
01001026 ὁ ὁ ὁ
01001026 θεός θεός θεός
01001026 Ποιήσωμεν Ποιήσωμεν Ποιήσωμεν
01001026 ἄνθρωπον ἄνθρωπον ἄνθρωπον
01001026 κατ’ κατ’ κατά
01001026 εἰκόνα εἰκόνα εἰκόνα
01001026 ἡμετέραν ἡμετέραν ἡμετέραν
01001026 καὶ καὶ καί
01001026 καθ’ καθ’ κατά
01001026 ὁμοίωσιν· ὁμοίωσιν ὁμοίωσιν
01001026 καὶ καὶ καί
01001026 ἀρχέτωσαν ἀρχέτωσαν ἀρχέτωσαν
01001026 τῶν τῶν τῶν
01001026 ἰχθύων ἰχθύων ἰχθύων
01001026 τῆς τῆς τῆς
01001026 θαλάσσης θαλάσσης θαλάσσης
01001026 καὶ καὶ καί
01001026 τῶν τῶν τῶν
01001026 πετεινῶν πετεινῶν πετεινῶν
01001026 τοῦ τοῦ τοῦ
01001026 οὐρανοῦ οὐρανοῦ οὐρανοῦ
01001026 καὶ καὶ καί
01001026 τῶν τῶν τῶν
01001026 κτηνῶν κτηνῶν κτηνῶν
01001026 καὶ καὶ καί
01001026 πάσης πάσης πάσης
01001026 τῆς τῆς τῆς
01001026 γῆς γῆς γῆς
01001026 καὶ καὶ καί
01001026 πάντων πάντων πάντων
01001026 τῶν τῶν τῶν
01001026 ἑρπετῶν ἑρπετῶν ἑρπετῶν
01001026 τῶν τῶν τῶν
01001026 ἑρπόντων ἑρπόντων ἑρπόντων
01001026 ἐπὶ ἐπὶ ἐπί
01001026 τῆς τῆς τῆς
01001026 γῆς. γῆς γῆς
01001027 καὶ καὶ καί
01001027 ἐποίησεν ἐποίησεν ἐποίησεν
01001027 ὁ ὁ ὁ
01001027 θεὸς θεὸς θεός
01001027 τὸν τὸν τόν
01001027 ἄνθρωπον, ἄνθρωπον ἄνθρωπον
01001027 κατ’ κατ’ κατά
01001027 εἰκόνα εἰκόνα εἰκόνα
01001027 θεοῦ θεοῦ θεοῦ
01001027 ἐποίησεν ἐποίησεν ἐποίησεν
01001027 αὐτόν· αὐτόν αὐτόν
01001027 ἄρσεν ἄρσεν ἄρσεν
01001027 καὶ καὶ καί
01001027 θῆλυ θῆλυ θῆλυ
01001027 ἐποίησεν ἐποίησεν ἐποίησεν
01001027 αὐτούς. αὐτούς αὐτούς
01001028 καὶ καὶ καί
01001028 ηὐλόγησεν ηὐλόγησεν ηὐλόγησεν
01001028 αὐτοὺς αὐτοὺς αὐτούς
01001028 ὁ ὁ ὁ
01001028 θεὸς θεὸς θεός
01001028 λέγων λέγων λέγων
01001028 Αὐξάνεσθε Αὐξάνεσθε Αὐξάνεσθε
01001028 καὶ καὶ καί
01001028 πληθύνεσθε, πληθύνεσθε πληθύνεσθε
01001028 καὶ καὶ καί
01001028 πληρώσατε πληρώσατε πληρώσατε
01001028 τὴν τὴν τήν
01001028 γῆν γῆν γῆν
01001028 καὶ καὶ καί
01001028 κατακυριεύσατε κατακυριεύσατε κατακυριεύσατε
01001028 αὐτῆς, αὐτῆς αὐτῆς
01001028 καὶ καὶ καί
01001028 ἄρχετε ἄρχετε ἄρχετε
01001028 τῶν τῶν τῶν
01001028 ἰχθύων ἰχθύων ἰχθύων
01001028 τῆς τῆς τῆς
01001028 θαλάσσης θαλάσσης θαλάσσης
